Requirement,Label,Reason,Corrected_Requirement
The system shall display the exact physical location (city and state) of the server processing the request for administrator users.,NO,,The system shall display the exact physical location (city and state) of the server processing the request for administrator users.
The application shall require users to confirm their email address via a verification link within 48 hours of registration.,NO,,The application shall require users to confirm their email address via a verification link within 48 hours of registration.
The system shall display system status updates via a banner with a contrast ratio of 4.5:1 against the background color.,NO,,The system shall display system status updates via a banner with a contrast ratio of 4.5:1 against the background color.
The user's first name field shall accept a maximum of 50 characters.,NO,,The user's first name field shall accept a maximum of 50 characters.
The API response time shall be monitored using Prometheus and exported to a Grafana dashboard.,NO,,The API response time shall be monitored using Prometheus and exported to a Grafana dashboard.
The system shall send system alerts via SMS to the on-call engineer's phone number.,NO,,The system shall send system alerts via SMS to the on-call engineer's phone number.
The application shall use semantic versioning (MAJOR.MINOR.PATCH) for all public releases.,NO,,The application shall use semantic versioning (MAJOR.MINOR.PATCH) for all public releases.
"Given that the financial reporting module aggregates data from five different subsidiary databases, the final consolidated monthly report, accessible only by Senior Accountants, shall present the figures accurately.",YES,"The term 'accurately' is vague; it doesn't specify the required tolerance or precision (e.g., to the nearest penny or a specific percentage error rate).","Given that the financial reporting module aggregates data from five different subsidiary databases, the final consolidated monthly report, accessible only by Senior Accountants, shall present the figures with a maximum reconciliation difference of $0.01 per line item against source system data."
"When a system failure occurs during the processing of a client transaction, the rollback mechanism, which uses two-phase commit across the order and inventory databases, must ensure that all data is returned to a prior state completely.",YES,"The adverb 'completely' is ambiguous; it lacks a specific, measurable data loss tolerance (e.g., zero data loss or a defined MTTR).","When a system failure occurs during the processing of a client transaction, the rollback mechanism, which uses two-phase commit across the order and inventory databases, must ensure a zero data loss state with a Mean Time To Recovery (MTTR) of less than [INSERT_TIME]."
"As per regulatory compliance requirements (GDPR Article 17), when a Data Subject Access Request (DSAR) is submitted via the portal, all personal identifying information (PII) scattered across the CRM and marketing systems must be deleted promptly.",YES,"The adverb 'promptly' is non-quantifiable; it lacks a specific, measurable time constraint for data deletion.","As per regulatory compliance requirements (GDPR Article 17), when a Data Subject Access Request (DSAR) is submitted via the portal, all PII across the CRM and marketing systems must be deleted within 7 calendar days of request verification."
"The network firewall, which protects the internal subnet from external threats, shall employ intrusion detection and prevention systems that provide strong defense against unauthorized access attempts.",YES,"The phrase 'strong defense' is subjective and not measurable; it lacks a specific required security standard (e.g., passed penetration test results or compliance level).","The network firewall, which protects the internal subnet from external threats, shall employ intrusion detection and prevention systems and must block [INSERT_PERCENTAGE] of all simulated malicious traffic defined by the latest MITRE ATT&CK framework."
"To enhance the end-user experience across mobile and desktop interfaces, all graphical assets including images and icons must load in a way that feels very smooth to the user.",YES,The phrase 'very smooth' is subjective and non-quantifiable; it needs a specific performance metric like animation frame rate or jank rate.,"To enhance the end-user experience across mobile and desktop interfaces, all graphical assets including images and icons shall load and render at a minimum frame rate of 60 frames per second (FPS)."
"For all high-priority alerts triggered by the monitoring system (e.g., unauthorized access or resource exhaustion), the system must notify the on-call engineer in a timely manner, regardless of their current location.",YES,"The phrase 'in a timely manner' is ambiguous; it lacks a specific, measurable maximum delay for notification delivery.","For all high-priority alerts triggered by the monitoring system (e.g., unauthorized access or resource exhaustion), the system must notify the on-call engineer via SMS within [INSERT_TIME] of the alert generation."
"The system's new document search capability, powered by Elasticsearch, must effectively find documents across the repository, even when the search query contains minor typos or deviations.",YES,"The adverb 'effectively' is vague; it needs a specific, measurable metric for search quality like Mean Average Precision or recall rate.","The system's new document search capability, powered by Elasticsearch, shall maintain a Mean Average Precision (mAP) score of 0.85 or higher for the top 20 most frequent queries."
"Considering the need for low-cost storage, the archive system, which moves older, less-frequently-accessed data to AWS S3 Glacier, shall reduce the overall monthly storage expense considerably.",YES,The adverb 'considerably' is non-quantifiable; it lacks a specific target percentage for cost reduction.,"Considering the need for low-cost storage, the archive system, which moves older, less-frequently-accessed data to AWS S3 Glacier, shall reduce the overall monthly storage expense by a minimum of [INSERT_PERCENTAGE] compared to the previous month's cost."
"In the event of a critical service update (e.g., database schema change), the process for deploying the changes across all three regional production clusters must be executed seamlessly without service interruptions.",YES,"The adverb 'seamlessly' is ambiguous; it needs a specific, measurable limit on service downtime or user-facing errors.","In the event of a critical service update (e.g., database schema change), the deployment process across all three regional production clusters must result in zero user-facing HTTP 5xx errors and maintain service availability above [INSERT_PERCENTAGE]."
"To ensure system performance under heavy load, the caching layer (Redis) must be implemented to manage data retrieval for frequently accessed resources efficiently.",YES,"The adverb 'efficiently' is vague; it lacks a specific, measurable target for cache performance (e.g., hit ratio).","To ensure system performance under heavy load, the caching layer (Redis) must achieve a minimum cache-hit ratio of [INSERT_PERCENTAGE] during peak load hours (10:00 AM - 2:00 PM PST)."
"The user onboarding wizard, designed to familiarize new retail customers with the platform's features, should guide them through the initial setup in a way that is intuitively clear to everyone.",YES,The phrase 'intuitively clear to everyone' is subjective and not measurable; it needs a success rate metric for task completion.,"The user onboarding wizard, designed for new retail customers, shall enable [INSERT_PERCENTAGE] of first-time users to complete the initial setup workflow without accessing the help documentation."
"When the system generates logs for security and auditing purposes, the log entries, which utilize the CEF format, must include sufficient detail for forensic analysis by the Security Operations team.",YES,The phrase 'sufficient detail' is vague and non-specific; it needs an explicit list of required log data fields.,"When the system generates logs for security and auditing purposes, the log entries shall include: User ID, Timestamp (to the millisecond), Source IP Address, Action Performed, Resource ID, and Success/Failure Status."
"The customer support chat interface, powered by an internal AI chatbot, should provide quick responses to common queries, ultimately resulting in much better customer satisfaction scores.",YES,The phrase 'much better' is non-quantifiable; it lacks a specific target for the improvement in the Customer Satisfaction (CSAT) score.,"The customer support chat interface, powered by an internal AI chatbot, shall increase the average Customer Satisfaction (CSAT) score from 3.5/5.0 to 4.2/5.0 within the first three months of deployment."
"Considering the high regulatory scrutiny in the healthcare domain, the entire patient data archival system must be protected with really strong encryption protocols, especially while data is at rest.",YES,The phrase 'really strong encryption protocols' is ambiguous; it must specify the required encryption algorithm and key length.,"Considering the high regulatory scrutiny in the healthcare domain, the entire patient data archival system must utilize AES-[INSERT_VALUE] encryption for all data at rest and TLS 1.3 for all data in transit."
"The new data visualization engine, implemented using D3.js, must be able to handle complex queries involving joins across three tables without consuming too many system resources on the rendering client.",YES,"The phrase 'without consuming too many system resources' is vague; it lacks specific, measurable limits for CPU/memory usage.","The new data visualization engine, implemented using D3.js, shall not cause the browser's CPU utilization to exceed [INSERT_PERCENTAGE] of a single core for more than [INSERT_TIME] while rendering any visualization."
"The primary application database, which uses PostgreSQL 16, shall achieve and sustain a minimum throughput of 5,000 successful transactions per second (TPS) during the peak load period between 10:00 AM and 12:00 PM EST.",NO,,"The primary application database, which uses PostgreSQL 16, shall achieve and sustain a minimum throughput of 5,000 successful transactions per second (TPS) during the peak load period between 10:00 AM and 12:00 PM EST."
"All publicly facing API endpoints, which are accessed by external partners, shall implement rate limiting that restricts each unique client IP address to a maximum of 100 requests every 60 seconds.",NO,,"All publicly facing API endpoints, which are accessed by external partners, shall implement rate limiting that restricts each unique client IP address to a maximum of 100 requests every 60 seconds."
"The nightly data ETL (Extract, Transform, Load) process, which pulls marketing data from Facebook and Google Ads into the data warehouse, shall complete its execution within a maximum of 90 minutes every morning.",NO,,"The nightly data ETL (Extract, Transform, Load) process, which pulls marketing data from Facebook and Google Ads into the data warehouse, shall complete its execution within a maximum of 90 minutes every morning."
"The user authentication subsystem shall utilize the industry-standard OAuth 2.0 Authorization Code Grant flow, requiring mandatory multi-factor authentication (MFA) for all user roles.",NO,,"The user authentication subsystem shall utilize the industry-standard OAuth 2.0 Authorization Code Grant flow, requiring mandatory multi-factor authentication (MFA) for all user roles."
"The mobile application (iOS and Android) must maintain compatibility with the last two major versions of the respective operating systems (e.g., iOS 17 and iOS 16, Android 14 and Android 13).",NO,,"The mobile application (iOS and Android) must maintain compatibility with the last two major versions of the respective operating systems (e.g., iOS 17 and iOS 16, Android 14 and Android 13)."
"The user session for administrative personnel, which grants access to critical system configuration tools, shall automatically expire and require re-authentication after precisely 15 minutes of inactivity.",NO,,"The user session for administrative personnel, which grants access to critical system configuration tools, shall automatically expire and require re-authentication after precisely 15 minutes of inactivity."
"The system shall display a system health dashboard accessible via the URL /admin/health, which shows the uptime status (in percentage) and latency (in milliseconds) of the three core microservices.",NO,,"The system shall display a system health dashboard accessible via the URL /admin/health, which shows the uptime status (in percentage) and latency (in milliseconds) of the three core microservices."
"All critical P1 severity bugs found in the production environment by the quality assurance team must be addressed, fixed, and deployed to production within 4 hours of their initial discovery and verification.",NO,,"All critical P1 severity bugs found in the production environment by the quality assurance team must be addressed, fixed, and deployed to production within 4 hours of their initial discovery and verification."
The file upload service shall reject any file exceeding the size of 100 megabytes (MB) and return a specific HTTP status code 413 (Payload Too Large) to the client.,NO,,The file upload service shall reject any file exceeding the size of 100 megabytes (MB) and return a specific HTTP status code 413 (Payload Too Large) to the client.
"The system must maintain an audit log of all database INSERT, UPDATE, and DELETE operations, including the user ID and timestamp, and retain these records for a minimum of 365 calendar days.",NO,,"The system must maintain an audit log of all database INSERT, UPDATE, and DELETE operations, including the user ID and timestamp, and retain these records for a minimum of 365 calendar days."
"The application shall calculate the total order value, including taxes, with a precision of exactly four decimal places before rounding the final display value to two decimal places.",NO,,"The application shall calculate the total order value, including taxes, with a precision of exactly four decimal places before rounding the final display value to two decimal places."
"The system shall utilize the Akamai Content Delivery Network (CDN) to serve all static assets (CSS, JS, images) and achieve a minimum global cache-hit ratio of 85% per month.",NO,,"The system shall utilize the Akamai Content Delivery Network (CDN) to serve all static assets (CSS, JS, images) and achieve a minimum global cache-hit ratio of 85% per month."
The API gateway shall be configured to enforce mutual TLS (mTLS) authentication for all service-to-service communication within the internal service mesh.,NO,,The API gateway shall be configured to enforce mutual TLS (mTLS) authentication for all service-to-service communication within the internal service mesh.
The password reset functionality must limit the generation of new reset tokens to a maximum of 3 requests per unique user email address within a 60-minute window.,NO,,The password reset functionality must limit the generation of new reset tokens to a maximum of 3 requests per unique user email address within a 60-minute window.
The main order processing queue (RabbitMQ) shall ensure that the end-to-end processing time for 99% of all messages does not exceed 5 seconds under normal operational load.,NO,,The main order processing queue (RabbitMQ) shall ensure that the end-to-end processing time for 99% of all messages does not exceed 5 seconds under normal operational load.
"Given that the analytics service relies on both MongoDB and Redis for caching user-specific metrics across multiple dashboards used by administrators and analysts, the system shall refresh all performance graphs while ensuring that updates occur efficiently during peak usage hours.",YES,"The term ""efficiently"" is vague and not measurable within the long-form requirement.","Given that the analytics service relies on both MongoDB and Redis, the system shall refresh all performance graphs within [INSERT_TIME] during peak usage hours with 5,[INSERT_NUMBER]  users."
"Considering that customer support agents rely heavily on real-time notifications pushed through WebSocket channels integrated with the CRM, the platform shall deliver all alert messages while guaranteeing that the delivery happens seamlessly even when traffic surges occur.",YES,"The phrase ""happens seamlessly"" is subjective and not quantifiable.","Considering that customer support agents rely on real-time WebSocket notifications, the platform shall deliver all alert messages within [INSERT_TIME] even when traffic surges to 20,[INSERT_NUMBER] ."
"Given that the warehouse automation subsystem interacts with external IoT sensors connected via MQTT and requires synchronized updates to inventory counts, the system shall process all inbound sensor events while ensuring that discrepancies are handled reliably under fluctuating network conditions.",YES,"The word ""reliably"" is ambiguous and not defined.","Given the IoT sensor dependencies, the system shall process all inbound sensor events with a maximum allowed error rate of [INSERT_PERCENTAGE] under fluctuating network conditions."
"Since the HR portal integrates biometric attendance machines through a scheduled REST API job that runs every 10 minutes, the module shall aggregate attendance logs and generate daily summaries while ensuring that the calculations are performed accurately across all branches.",YES,"The word ""accurately"" is vague without measurable criteria.",The module shall aggregate attendance logs and generate daily summaries with a maximum summarization error deviation of [INSERT_PERCENTAGE] across all branches.
"Given that the procurement team accesses the ERP through a cloud-hosted interface that stores large vendor datasets, the system shall allow searching through supplier profiles while ensuring that the search functionality works better during contract renewal cycles.",YES,"The word ""better"" is subjective and cannot be tested.",The system shall allow searching through supplier profiles with response times under [INSERT_TIME] during contract renewal cycles.
"Considering the mobile banking application that uses AES-256 encryption and supports biometric authentication, the system shall validate all fund transfer requests while ensuring that the validation workflow completes quickly even when server load increases.",YES,"The term ""completes quickly"" is ambiguous and not measurable.",The system shall validate all fund transfer requests within [INSERT_TIME] even when server load increases by [INSERT_PERCENTAGE].
"Since field technicians rely on offline-first data synchronization powered by a background service running in the company’s Android app, the application shall upload all queued maintenance logs while ensuring that synchronization occurs smoothly when connectivity is restored.",YES,"The word ""smoothly"" is subjective and undefined.",The application shall upload all queued maintenance logs within [INSERT_TIME] after connectivity is restored.
"Because marketing teams schedule promotional campaigns through a Kafka-driven event system connected to multiple microservices, the platform shall propagate campaign updates across all regions while ensuring that the propagation completes in an acceptable manner.",YES,"The phrase ""acceptable manner"" is ambiguous and lacks criteria.",The platform shall propagate campaign updates across all regions within [INSERT_TIME] of publication.
"Given that quality assurance testers run automated test suites through Jenkins pipelines integrated with Selenium, the system shall generate execution reports while ensuring that the reporting module performs efficiently when handling large batches of test logs.",YES,"The phrase ""performs efficiently"" is ambiguous.",The system shall generate execution reports within [INSERT_TIME] for test logs up to [INSERT_SIZE].
"Considering that the logistics platform communicates with external fleet-tracking APIs that may experience throttling, the system shall fetch vehicle coordinates and update trip timelines while ensuring that updates are handled reliably during API slowdowns.",YES,"The term ""reliably"" is not defined and is ambiguous.",The system shall fetch coordinates and update trip timelines with a [INSERT_PERCENTAGE] success rate during API slowdowns.
"Since the document collaboration tool supports versioning, inline comments, and real-time co-editing via WebRTC, the platform shall merge simultaneous edits while ensuring that conflicts are resolved in a better way for all participants.",YES,"The phrase ""better way"" is subjective.",The platform shall merge simultaneous edits and resolve conflicts using deterministic rules ensuring less than [INSERT_PERCENTAGE] merge errors.
"Given that the IoT monitoring console relies on thousands of live telemetry data points streamed every second, the dashboard shall render device health indicators while ensuring that all UI elements update seamlessly as new data arrives.",YES,"The term ""update seamlessly"" is not measurable.",The dashboard shall render device health indicators with UI updates every [INSERT_TIME] as new telemetry data arrives.
"Considering the retailer's distributed inventory system that synchronizes stock levels through periodic batch jobs and Kafka events, the system shall reconcile all stock quantities while ensuring that mismatches are handled efficiently across storage nodes.",YES,"The word ""efficiently"" lacks measurable definition.",The system shall reconcile all stock quantities with mismatch resolution completed within [INSERT_TIME] per node.
"Given the multilayered security workflow involving MFA, behavior analytics, and geofencing, the authentication engine shall verify user login attempts while ensuring that risky attempts are flagged in a timely manner across all regions.",YES,"The phrase ""timely manner"" is subjective and vague.",The authentication engine shall flag risky attempts within [INSERT_TIME] across all regions.
"Since the customer analytics engine aggregates millions of transaction records daily to identify trends, the system shall compute behavioral insights while ensuring that the insight generation process performs smoothly under heavy analytical loads.",YES,"The word ""smoothly"" is ambiguous.",The system shall compute behavioral insights within [INSERT_TIME] for datasets up to 5 million records.
"Given that the financial reporting system integrates with SAP, Oracle databases, and multiple data lakes across regions, the platform shall generate quarterly revenue reports with strict compliance to IFRS standards and deliver the final compiled output within 20 seconds under normal load.",NO,,"Given that the financial reporting system integrates with SAP, Oracle databases, and multiple data lakes across regions, the platform shall generate quarterly revenue reports with strict compliance to IFRS standards and deliver the final compiled output within 20 seconds under normal load."
"Considering the health records platform used by physicians, pharmacists, and insurance evaluators, the system shall retrieve patient profiles, validate digital signatures, and load prescription histories within 3 seconds even when cross-region replication delays occur.",NO,,"Considering the health records platform used by physicians, pharmacists, and insurance evaluators, the system shall retrieve patient profiles, validate digital signatures, and load prescription histories within 3 seconds even when cross-region replication delays occur."
"Since the AI recommendation engine consumes real-time purchase streams and applies ML models for personalization, the system shall compute product recommendations with a maximum latency of 200ms while handling up to 15,000 concurrent sessions.",NO,,"Since the AI recommendation engine consumes real-time purchase streams and applies ML models for personalization, the system shall compute product recommendations with a maximum latency of 200ms while handling up to 15,000 concurrent sessions."
"Given the distributed caching architecture supported by Redis clusters and load balancers, the web application shall serve homepage content with an average response time under 500ms while supporting up to 25,000 concurrent users.",NO,,"Given the distributed caching architecture supported by Redis clusters and load balancers, the web application shall serve homepage content with an average response time under 500ms while supporting up to 25,000 concurrent users."
"Since shipment tracking involves continuous polling of third-party carrier APIs and internal ETL processes, the logistics module shall update shipment statuses every 2 minutes with no more than 1% discrepancy across all data sources.",NO,,"Since shipment tracking involves continuous polling of third-party carrier APIs and internal ETL processes, the logistics module shall update shipment statuses every 2 minutes with no more than 1% discrepancy across all data sources."
"Considering that the manufacturing dashboard consolidates production metrics from 14 assembly lines, the system shall compute efficiency scores, generate hourly summaries, and display machine alerts within 4 seconds for operators in the control room.",NO,,"Considering that the manufacturing dashboard consolidates production metrics from 14 assembly lines, the system shall compute efficiency scores, generate hourly summaries, and display machine alerts within 4 seconds for operators in the control room."
"Given the heavy use of OAuth 2.0, JWT tokens, and role-based access policies, the authorization layer shall process access requests and return decisions within 150ms under peak load of 10,000 authorization checks per second.",NO,,"Given the heavy use of OAuth 2.0, JWT tokens, and role-based access policies, the authorization layer shall process access requests and return decisions within 150ms under peak load of 10,000 authorization checks per second."
"Considering that the internal BI portal loads data from Snowflake warehouses and cached summary tables, the system shall populate the executive dashboard with updated KPIs within 6 seconds of login for authenticated users.",NO,,"Considering that the internal BI portal loads data from Snowflake warehouses and cached summary tables, the system shall populate the executive dashboard with updated KPIs within 6 seconds of login for authenticated users."
"Given that the healthcare monitoring system continuously streams ECG and vitals data from patient devices, the platform shall detect anomalies and trigger alerts within 1 second while maintaining 99% alert accuracy.",NO,,"Given that the healthcare monitoring system continuously streams ECG and vitals data from patient devices, the platform shall detect anomalies and trigger alerts within 1 second while maintaining 99% alert accuracy."
"Since the enterprise email module integrates with Microsoft Graph and enforces security policies, the system shall deliver outbound messages within 5 seconds while maintaining encryption standards required by corporate IT.",NO,,"Since the enterprise email module integrates with Microsoft Graph and enforces security policies, the system shall deliver outbound messages within 5 seconds while maintaining encryption standards required by corporate IT."
"Considering the remote-learning platform used simultaneously by students, instructors, and administrators, the system shall load lecture materials, sync quizzes, and update attendance logs within 3 seconds even during live virtual classes.",NO,,"Considering the remote-learning platform used simultaneously by students, instructors, and administrators, the system shall load lecture materials, sync quizzes, and update attendance logs within 3 seconds even during live virtual classes."
"Given that the container orchestration environment relies on Kubernetes HPA policies, the platform shall scale application pods within 20 seconds once CPU thresholds exceed 70% on any deployment.",NO,,"Given that the container orchestration environment relies on Kubernetes HPA policies, the platform shall scale application pods within 20 seconds once CPU thresholds exceed 70% on any deployment."
"Since the data ingestion pipeline processes CSV, JSON, and Parquet files from multiple partners, the system shall validate incoming files, transform datasets, and load them into the warehouse within 10 minutes for batches up to 5GB.",NO,,"Since the data ingestion pipeline processes CSV, JSON, and Parquet files from multiple partners, the system shall validate incoming files, transform datasets, and load them into the warehouse within 10 minutes for batches up to 5GB."
"Considering the cross-border payment processing engine operating across three regions, the system shall finalize settlement files, apply conversion rates, and submit transaction summaries within 12 seconds for each batch of 1,000 records.",NO,,"Considering the cross-border payment processing engine operating across three regions, the system shall finalize settlement files, apply conversion rates, and submit transaction summaries within 12 seconds for each batch of 1,000 records."
"The product should integrate smoothly with our existing CRM (Salesforce), facilitating better data flow between sales activities and customer support tickets.",YES,"The adverb 'smoothly' is subjective; it lacks a specific, measurable metric for integration performance (e.g., synchronization latency or success rate).","The product shall integrate with Salesforce using the standard REST API, ensuring that data synchronization latency for new support tickets does not exceed [INSERT_TIME], [INSERT_PERCENTAGE] of the time."
"To adhere to modern cybersecurity principles, all code repositories (GitHub) must employ secure coding practices to ensure the final build is relatively safe from vulnerabilities.",YES,"The phrase 'relatively safe' is ambiguous; it lacks a specific, measurable standard or tolerance for security findings.","To adhere to modern cybersecurity principles, all code repositories must pass automated static application security testing (SAST) scans with zero critical or high-severity findings prior to merging into the main branch."
"Given the variety of user ages and technical skills, the checkout workflow, which involves selecting shipping and payment options, needs to be intuitive for all customer demographics.",YES,"The term 'intuitive' is subjective; it lacks a specific, measurable metric for usability or learnability (e.g., task success rate for first-time users).","Given the variety of user ages and technical skills, the checkout workflow must achieve a task completion success rate of [INSERT_PERCENTAGE] during usability testing with a representative user sample."
"The system's disaster recovery plan, which outlines failover procedures for the primary database cluster, must minimize the time the service is unavailable to the end-user.",YES,"The verb 'minimize' is non-quantifiable; it lacks a specific, measurable target for recovery time.","The system's disaster recovery plan, which outlines failover procedures for the primary database cluster, shall ensure a Recovery Time Objective (RTO) of [INSERT_TIME] or less."
"The reporting service, utilizing pre-aggregated data tables, should present visualizations and data tables in a way that is easily consumable by executive management.",YES,"The phrase 'easily consumable' is subjective; it lacks a specific, measurable standard for data presentation or understanding (e.g., time to extract key insight).","The reporting service shall present all key performance indicators (KPIs) in visualizations that adhere to the company's internal Data Visualization Standard v2.0, allowing executive management to extract the primary insight within [INSERT_TIME]."
"When updating a user's subscription tier, the billing API must process the prorated charges correctly, ensuring that the customer is not overcharged or undercharged.",YES,"The adverb 'correctly' is vague; it lacks a specific, measurable definition of the required financial calculation accuracy.","When updating a user's subscription tier, the billing API must process the prorated charges with an accuracy such that the total calculated charge differs from the independently verified value by no more than \$0.01."
"The monitoring system shall send alerts to the designated Slack channel, and these alerts should include a lot of information for effective troubleshooting by the DevOps team.",YES,The phrase 'a lot of information' is non-specific; it needs an explicit list of required data points for effective troubleshooting.,"The monitoring system shall send alerts including the following 5 required data fields for troubleshooting: Hostname, Service Name, Error Code, Timestamp (UTC), and a link to the relevant logs."
"To ensure data quality, all user inputs into the critical demographic forms must be validated thoroughly before being committed to the central user profile database.",YES,"The adverb 'thoroughly' is vague; it lacks a specific requirement for the extent of validation (e.g., regex checks, existence checks, or external service validation).","To ensure data quality, all user inputs into the critical demographic forms must be validated against defined regular expressions, type checks, and checked against the national address verification service before database commit."
"The system must offer a better experience for mobile users, especially when navigating the main product catalog and filtering search results.",YES,"The phrase 'better experience' is subjective; it lacks a specific, measurable metric for mobile performance or usability improvement.",The system shall achieve a Google Lighthouse performance score of 90 or higher for the mobile version of the main product catalog page.
"Considering our growth, the message queue service (Kafka) should be implemented using an architecture that will scale well with increasing transactional volume over the next few years.",YES,"The phrase 'scale well' is vague; it lacks a specific, quantifiable target for future load capacity or performance under increased load.","The message queue service (Kafka) shall support a message throughput of 10,[INSERT_VALUE] messages per second, with the ability to scale up to 50,[INSERT_VALUE] messages per second within 6 months."
"The internal network documentation, covering topology, IP addressing schemes, and firewall rules, must be maintained meticulously by the IT operations team.",YES,The adverb 'meticulously' is subjective; it lacks a specific requirement for the documentation update frequency or accuracy tolerance.,"The internal network documentation shall be reviewed and updated within [INSERT_TIME] of any material change to the network topology or firewall rules, and maintain [INSERT_PERCENTAGE] accuracy."
"The process for deploying code from the staging environment to the production environment, which involves containerized applications, must be totally reliable.",YES,"The phrase 'totally reliable' is non-quantifiable; it lacks a specific, measurable success rate or failure tolerance for the deployment process.","The process for deploying code from the staging environment to the production environment shall maintain a deployment success rate of [INSERT_PERCENTAGE] (less than 1 failure per 1,[INSERT_VALUE] deployments)."
"The external API for partners, which uses JWT for authorization, must handle multiple concurrent requests without running into any performance issues.",YES,"The phrase 'without running into any performance issues' is subjective; it needs specific, measurable metrics for latency or throughput under load.",The external API for partners shall handle [INSERT_NUMBER]  requests with the 95th percentile request latency remaining below [INSERT_TIME].
"The application must offer flexible reporting options to the user, allowing them to customize the output format, time range, and specific data fields included.",YES,The adjective 'flexible' is ambiguous; it lacks an explicit list of the allowed customization dimensions.,"The application shall allow users to customize reporting by selecting from three output formats (PDF, CSV, XLSX), selecting one of four predefined time ranges (Last 7 Days, Last 30 Days, Last Quarter, All Time), and selecting any combination of the 15 available data fields."
"To protect against data breaches, all connections to the database from the application layer must be adequately secured using modern encryption standards.",YES,"The phrase 'adequately secured' is vague; it lacks a specific, testable encryption standard requirement.",All connections to the database from the application layer shall be secured using TLS 1.3 encryption with client certificate authentication.
"The user dashboard shall display the current available credit limit, clearly updated every 60 seconds, and render this information with a response time of less than 500 milliseconds.",NO,,"The user dashboard shall display the current available credit limit, clearly updated every 60 seconds, and render this information with a response time of less than 500 milliseconds."
"The continuous integration pipeline, which uses Jenkins, shall execute all unit tests and integration tests and report the aggregated code coverage percentage before building the final Docker image.",NO,,"The continuous integration pipeline, which uses Jenkins, shall execute all unit tests and integration tests and report the aggregated code coverage percentage before building the final Docker image."
"For all payment transactions processed via the third-party gateway (Stripe), the system must store the transaction ID, the last 4 digits of the card, and the exact timestamp of the approval.",NO,,"For all payment transactions processed via the third-party gateway (Stripe), the system must store the transaction ID, the last 4 digits of the card, and the exact timestamp of the approval."
"The system shall utilize the built-in operating system security capabilities (e.g., SELinux or AppArmor) to isolate the web server process from other critical infrastructure components.",NO,,"The system shall utilize the built-in operating system security capabilities (e.g., SELinux or AppArmor) to isolate the web server process from other critical infrastructure components."
"All non-functional requirements documents, including the performance testing results and security audit reports, must be stored in the SharePoint repository accessible by all Senior Engineers.",NO,,"All non-functional requirements documents, including the performance testing results and security audit reports, must be stored in the SharePoint repository accessible by all Senior Engineers."
"The application shall present the user with a mandatory cookie consent banner on their first visit, adhering strictly to the ePrivacy Directive (Cookie Law) standards.",NO,,"The application shall present the user with a mandatory cookie consent banner on their first visit, adhering strictly to the ePrivacy Directive (Cookie Law) standards."
The process for decommissioning a server in the production environment must involve a final data wipe using the DoD 5220.22-M standard before physical removal.,NO,,The process for decommissioning a server in the production environment must involve a final data wipe using the DoD 5220.22-M standard before physical removal.
The system must ensure that the maximum number of concurrent database connections from the application layer never exceeds the configured pool limit of 150 connections.,NO,,The system must ensure that the maximum number of concurrent database connections from the application layer never exceeds the configured pool limit of 150 connections.
"The internal search engine shall support language-specific stemming for English, Spanish, and French, ensuring the retrieval of appropriate morphological variants.",NO,,"The internal search engine shall support language-specific stemming for English, Spanish, and French, ensuring the retrieval of appropriate morphological variants."
The system shall support a minimum screen resolution of 1280x800 pixels and correctly scale its layout up to a maximum resolution of 4K (3840x2160 pixels).,NO,,The system shall support a minimum screen resolution of 1280x800 pixels and correctly scale its layout up to a maximum resolution of 4K (3840x2160 pixels).
"The API error responses shall uniformly use the problem details format specified in RFC 7807, including the 'type', 'title', 'status', and 'detail' fields.",NO,,"The API error responses shall uniformly use the problem details format specified in RFC 7807, including the 'type', 'title', 'status', and 'detail' fields."
The email subscription service shall ensure that the unsubscribe link provided in every marketing email is fully functional and processes the request within 1 minute of clicking.,NO,,The email subscription service shall ensure that the unsubscribe link provided in every marketing email is fully functional and processes the request within 1 minute of clicking.
"The system shall ensure that the average CPU utilization across the core application cluster remains below 60% during a load test simulating 5,000 active users.",NO,,"The system shall ensure that the average CPU utilization across the core application cluster remains below 60% during a load test simulating 5,000 active users."
"The user interface shall provide text alternatives (alt text) for all images and non-text content, meeting WCAG 2.1 Success Criterion 1.1.1 standards.",NO,,"The user interface shall provide text alternatives (alt text) for all images and non-text content, meeting WCAG 2.1 Success Criterion 1.1.1 standards."
The source code repository shall maintain a branch protection rule requiring at least two approved reviews from designated code owners before any merge into the main branch.,NO,,The source code repository shall maintain a branch protection rule requiring at least two approved reviews from designated code owners before any merge into the main branch.
"Considering that the video conferencing solution streams HD video and audio to participants using WebRTC and integrates with calendar APIs, the system shall record sessions while ensuring that recording occurs seamlessly even when multiple conferences are ongoing.",YES,"The word ""seamlessly"" is subjective and unquantifiable.",The system shall record sessions without frame drops and with audio-video sync maintained within [INSERT_TIME] even when up to 50 conferences run concurrently.
"Since the IoT fleet management dashboard ingests GPS, fuel, and maintenance data from hundreds of vehicles, the system shall update route optimizations while ensuring that calculations are performed reliably when network latency fluctuates.",YES,"The term ""reliably"" is ambiguous and lacks measurable criteria.",The system shall update route optimizations within [INSERT_TIME] with no more than [INSERT_PERCENTAGE] deviation during network latency spikes.
